db,query,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,subspecies
ncbi,Hermetia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Stratiomyidae,Hermetiinae,NA,Hermetia,NA,NA
ncbi,Copestylum,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Syrphidae,Eristalinae,Volucellini,Copestylum,NA,NA
ncbi,Lejops_barbiellinii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Meromacrus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Syrphidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Syrphidae,NA,NA,NA,NA,NA
ncbi,Eristalis,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Syrphidae,Eristalinae,Eristalini,Eristalis,NA,NA
ncbi,Eristalinae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Syrphidae,Eristalinae,NA,NA,NA,NA
ncbi,Palpada,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Syrphidae,Eristalinae,Eristalini,Palpada,NA,NA
ncbi,Quichuana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Pipiza,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Syrphidae,Syrphinae,Pipizini,Pipiza,NA,NA
ncbi,Xilota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Lampyridae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Lampyridae,NA,NA,NA,NA,NA
ncbi,Tabanidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Tabanidae,NA,NA,NA,NA,NA
ncbi,Fidena_rufopilosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Stibasoma_bicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Leucotabanus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Tabanidae,Tabaninae,Diachlorini,Leucotabanus,NA,NA
ncbi,Stibasoma_fulvohirtum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Ptilodactylidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ptilodactylidae,NA,NA,NA,NA,NA
ncbi,Thaumaleidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Thaumaleidae,NA,NA,NA,NA,NA
ncbi,Cheilotrichia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Limoniidae,Chioneinae,NA,Cheilotrichia,NA,NA
ncbi,Tipulidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Tipulidae,NA,NA,NA,NA,NA
ncbi,Tipula,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Tipulidae,Tipulinae,NA,Tipula,NA,NA
ncbi,Ormosia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Limoniidae,Limoniinae,NA,Ormosia,NA,NA
ncbi,Rhabdomastrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Brachypremna,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Tipulidae,Tipulinae,NA,Brachypremna,NA,NA
ncbi,Tipulinae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Tipulidae,Tipulinae,NA,NA,NA,NA
ncbi,Ctenophorinae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Tipulidae,Ctenophorinae,NA,NA,NA,NA
ncbi,Scirtes,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Scirtidae,NA,NA,Scirtes,NA,NA
ncbi,Hexatominae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Limoniidae,Hexatominae,NA,NA,NA,NA
ncbi,Limonia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Limoniidae,Limoniinae,NA,Limonia,NA,NA
ncbi,Trentepohlia_dominicana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Limoniidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Limoniidae,NA,NA,NA,NA,NA
ncbi,Nematocera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Ocyptamus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Syrphidae,Syrphinae,Syrphini,Ocyptamus,NA,NA
ncbi,Scirtidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Scirtidae,NA,NA,NA,NA,NA
ncbi,Aulacigaster,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Aulacigastridae,NA,NA,Aulacigaster,NA,NA
ncbi,Naididae,NA,Metazoa,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Naididae,NA,NA,NA,NA,NA
ncbi,Veliidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Veliidae,NA,NA,NA,NA,NA
ncbi,Gerridae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Gerridae,NA,NA,NA,NA,NA
ncbi,Mesoveliidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Mesoveliidae,NA,NA,NA,NA,NA
ncbi,Microvelia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Veliidae,Microveliinae,NA,Microvelia,NA,NA
ncbi,Hirudinea,NA,Metazoa,Annelida,NA,Clitellata,Hirudinea,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Lepidoptera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Oreiallagma oreas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Coenagrionidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Coenagrionidae,NA,NA,NA,NA,NA
ncbi,Leptagrion_andromache,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Coenagrionidae,NA,NA,Leptagrion,Leptagrion andromache,NA
ncbi,Leptagrion_bocainense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Leptagrion_elongatum,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Coenagrionidae,NA,NA,Leptagrion,Leptagrion elongatum,NA
ncbi,Zygoptera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Mecistogaster_modesta,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Pseudostigmatidae,NA,NA,Mecistogaster,Mecistogaster modesta,NA
ncbi,Oligochaeta,NA,Metazoa,Annelida,NA,Clitellata,Oligochaeta,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Aelosoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Enchytraeoidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Dero,NA,Metazoa,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Naididae,Naidinae,NA,Dero,NA,NA
ncbi,Dero_superterrenus,NA,Metazoa,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Naididae,Naidinae,NA,Dero,Dero superterrenus,NA
ncbi,Aulophorus_superterrenus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Pristina,NA,Metazoa,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Naididae,Naidinae,NA,Pristina,NA,NA
